question,answer
What is your name?,I'm an FAQ bot here to help answer your questions.
How can I reset my password?,"To reset your password, go to the login page and click on 'Forgot Password'."
Can you help me with my account?,"Yes, I can help with account-related issues."
What is artificial intelligence?,Artificial Intelligence is a field focused on creating machines that can perform tasks intelligently.
How do I contact support?,You can contact support by sending an email to support@example.com.
What is the return policy?,Our return policy allows you to return items within 30 days of purchase.
Where can I track my order?,You can track your order by visiting the 'Track Orders' section in your account.
Do you ship internationally?,"Yes, we do offer international shipping to many countries."
How do I change my email address?,"To change your email address, go to your account settings and update your email."
Can I cancel my order?,Orders can only be canceled within 24 hours of placing them. Please contact support if needed.
